user_id,user_created_at,length,likes,quotes,replies,retweets,text,user_followers,user_tweet_count
cco00oo.bsky.social,2024-02-08,8,1226,3,17,233,nap time'], 32302, 1350
mnateshyamalan.bsky.social,2023-04-27,104,6840,39,78,552,shout out to kendrick lamar for making this the Worst Week Alive for every single hot dog stand employee'], 127162, 559
nickknudsenus.bsky.social,2023-05-06,51,2201,28,170,502,Just a reminder that land doesn’t vote.\n\nPeople do.'], 177385, 456
allabtgalaxy.bsky.social,2024-10-22,27,847,4,18,74,The clearest image of Pluto'], 101251, 109
ggrim002.bsky.social,2023-09-11,13,1508,15,60,200,Good morning…'], 25204, 1446
tonysadowski.bsky.social,2023-04-15,128,6080,22,93,481,The Lion King is probably my favorite movie about running away from your problems until you’re strong enough to kill your uncle.'], 2916, 660
juststacie5683.bsky.social,2023-08-18,132,56,0,75,11,Good Sunday morning! 🌈 \nIt’s a brand new week- filled with hope and potential! \nWhat song is stuck in your head right now?\n\n#EarWorm'], 1293, 33
clairewillett.bsky.social,2023-05-21,294,348,1,13,3,okay it’s officially ❄️December 1❄️ and the first day of Advent which means Mariah has defrosted and it’s time for me to achieve my final form as Christmas Music Claire \n\nI’m pinning this thread to post one song every day that I consider to be a necessary addition to your holiday merrymaking 🎄'], 23449, 9588
tallbart.com,2023-04-27,260,5954,25,76,557,"Kendrick and Drake have squashed their beef... [Burger falls on screen] ...into a juicy flame-grilled four ounce patty. [Kendrick goes in for a bite then stops] Hey Drake, pass the MUSTAAAARD! [They laugh and hug it out] Every adult meal comes with a kid's toy""]", 28286, 192
supertanskiiii.bsky.social,2024-11-08,285,1376,6,97,121,"“Women of a certain age” are who misogynists fear the most, that’s why they claim women over 30 have “hit the wall” and all try to bang twenty year old women who are less empowered to call out bad behaviour and too inexperienced to know that they’re a pitiful shag. \n\nI see you, Gregg.']", 42866, 178
eve6.bsky.social,2023-04-26,134,7733,19,234,197,"Until they get verification sorted I'm just gonna pin a video of me singing our song breakfast at Tiffany's so you know it's really us""]", 75000, 473
kirstenp.bsky.social,2023-07-01,115,689,8,38,49,Finally watched Arrival last night and I really think we should be allowed more big-budget films about linguistics.'], 746, 137
lukelukeluke.bsky.social,2023-07-03,23,40024,91,651,1862,Here is a nice mushroom'], 71023, 19890
shiningscience.com,2024-11-17,80,17503,131,227,1735,"Clearest image ever taken of Heart Nebula, located 7500 light years away from us']", 25218, 48
nickknudsenus.bsky.social,2023-05-06,11,4097,28,205,605,"Weird, huh?']", 177385, 456
stuzipants.bsky.social,2023-08-06,157,13742,100,922,682,Saturday Sounds 💿 \n\nIf there’d never been a Beatles it’s likely that this would be the greatest album of all time \n\nRumours by Fleetwood Mac \n\nFar too good 🔥'], 11762, 6310
alicewinterhold.bsky.social,2024-11-16,126,6923,85,415,522,Remember when songs would have a saxophone riff that would echo through the hollows of your soul? We used to be a real country'], 6886, 45
